                    Logit Regression Results                    
Dep. Variable:  ,has_result      ,  No. Observations:  ,  1470  
Model:          ,Logit           ,  Df Residuals:      ,  1468  
Method:         ,MLE             ,  Df Model:          ,     1  
Date:           ,Fri, 01 Mar 2024,  Pseudo R-squ.:     ,0.003518
Time:           ,18:16:50        ,  Log-Likelihood:    , -889.69
converged:      ,True            ,  LL-Null:           , -892.83
Covariance Type:,nonrobust       ,  LLR p-value:       ,0.01220 
                                   ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
Intercept                          ,    0.5822,    0.125,    4.663, 0.000,    0.338,    0.827
Q("primary_outcomes__true")[T.True],    0.3559,    0.140,    2.533, 0.011,    0.081,    0.631
