                    Logit Regression Results                    
Dep. Variable:  ,has_result      ,  No. Observations:  ,  1470  
Model:          ,Logit           ,  Df Residuals:      ,  1465  
Method:         ,MLE             ,  Df Model:          ,     4  
Date:           ,Fri, 01 Mar 2024,  Pseudo R-squ.:     ,0.005298
Time:           ,18:16:50        ,  Log-Likelihood:    , -888.10
converged:      ,True            ,  LL-Null:           , -892.83
Covariance Type:,nonrobust       ,  LLR p-value:       ,0.05056 
                                                   ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
Intercept                                          ,    1.0073,    0.127,    7.901, 0.000,    0.757,    1.257
Q("number_of_subjects_grouped__1000-10000")[T.True],   -0.3537,    0.171,   -2.064, 0.039,   -0.690,   -0.018
Q("number_of_subjects_grouped__500-<1000")[T.True] ,   -0.4065,    0.216,   -1.883, 0.060,   -0.830,    0.017
Q("number_of_subjects_grouped__<100")[T.True]      ,    0.1149,    0.219,    0.525, 0.599,   -0.314,    0.543
Q("number_of_subjects_grouped__>10000")[T.True]    ,   -0.0770,    0.161,   -0.477, 0.634,   -0.393,    0.239
