                     Logit Regression Results                    
Dep. Variable:  ,has_result      ,  No. Observations:  ,  1470   
Model:          ,Logit           ,  Df Residuals:      ,  1467   
Method:         ,MLE             ,  Df Model:          ,     2   
Date:           ,Fri, 01 Mar 2024,  Pseudo R-squ.:     ,0.01436  
Time:           ,18:16:49        ,  Log-Likelihood:    , -880.01 
converged:      ,True            ,  LL-Null:           , -892.83 
Covariance Type:,nonrobust       ,  LLR p-value:       ,2.712e-06
                                           ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
Intercept                                  ,    1.2759,    0.108,   11.831, 0.000,    1.065,    1.487
Q("number_of_countries_grouped__1")[T.True],   -0.6277,    0.129,   -4.873, 0.000,   -0.880,   -0.375
Q("number_of_countries_grouped__2")[T.True],   -0.1773,    0.293,   -0.605, 0.545,   -0.751,    0.397
