                     Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2300   
Model:          ,Logit           ,  Df Residuals:      ,  2298   
Method:         ,MLE             ,  Df Model:          ,     1   
Date:           ,Sun, 16 Mar 2025,  Pseudo R-squ.:     ,0.005227 
Time:           ,21:02:06        ,  Log-Likelihood:    , -1543.8 
converged:      ,True            ,  LL-Null:           , -1551.9 
Covariance Type:,nonrobust       ,  LLR p-value:       ,5.632e-05
                                                      ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] ,odds rt,[0.025,0.975]
Intercept                                             ,    0.3276,    0.045,    7.298, 0.000,    0.240,    0.416,1.3876 ,1.2707,1.5152
Q("collaboration_with_research_network__true")[T.True],    0.5621,    0.143,    3.918, 0.000,    0.281,    0.843,1.7543 ,1.3243,2.3238
