                    Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2300  
Model:          ,Logit           ,  Df Residuals:      ,  2295  
Method:         ,MLE             ,  Df Model:          ,     4  
Date:           ,Sun, 16 Mar 2025,  Pseudo R-squ.:     ,0.003212
Time:           ,21:02:06        ,  Log-Likelihood:    , -1546.9
converged:      ,True            ,  LL-Null:           , -1551.9
Covariance Type:,nonrobust       ,  LLR p-value:       ,0.04096 
                                                   ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] ,odds rt,[0.025,0.975]
Intercept                                          ,    0.2421,    0.090,    2.682, 0.007,    0.065,    0.419,1.274  ,1.0674,1.5206
Q("number_of_subjects_grouped__1000-10000")[T.True],    0.0733,    0.124,    0.591, 0.554,   -0.170,    0.316,1.076  ,0.844 ,1.3719
Q("number_of_subjects_grouped__500-<1000")[T.True] ,    0.0551,    0.158,    0.349, 0.727,   -0.254,    0.364,1.0567 ,0.7755,1.4397
Q("number_of_subjects_grouped__<100")[T.True]      ,    0.1473,    0.155,    0.948, 0.343,   -0.157,    0.452,1.1587 ,0.8546,1.5711
Q("number_of_subjects_grouped__>10000")[T.True]    ,    0.3358,    0.119,    2.827, 0.005,    0.103,    0.569,1.3991 ,1.1085,1.7659
