                    Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2300  
Model:          ,Logit           ,  Df Residuals:      ,  2295  
Method:         ,MLE             ,  Df Model:          ,     4  
Date:           ,Sun, 16 Mar 2025,  Pseudo R-squ.:     ,0.002767
Time:           ,21:02:06        ,  Log-Likelihood:    , -1547.6
converged:      ,True            ,  LL-Null:           , -1551.9
Covariance Type:,nonrobust       ,  LLR p-value:       ,0.07229 
                                                    ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] ,odds rt,[0.025,0.975]
Intercept                                           ,    0.4383,    0.048,    9.040, 0.000,    0.343,    0.533,1.55   ,1.4095,1.7045
Q("funding_sources_grouped__mixed")[T.True]         ,   -0.2376,    0.264,   -0.900, 0.368,   -0.755,    0.280,0.7885 ,0.47  ,1.3229
Q("funding_sources_grouped__no_funding")[T.True]    ,    0.1495,    0.397,    0.376, 0.707,   -0.629,    0.928,1.1613 ,0.533 ,2.5304
Q("funding_sources_grouped__non-commercial")[T.True],   -0.1967,    0.113,   -1.743, 0.081,   -0.418,    0.024,0.8215 ,0.6585,1.0248
Q("funding_sources_grouped__unclear")[T.True]       ,   -0.7747,    0.342,   -2.268, 0.023,   -1.444,   -0.105,0.4608 ,0.236 ,0.9   
