                     Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2300   
Model:          ,Logit           ,  Df Residuals:      ,  2298   
Method:         ,MLE             ,  Df Model:          ,     1   
Date:           ,Sun, 16 Mar 2025,  Pseudo R-squ.:     ,0.005593 
Time:           ,21:02:06        ,  Log-Likelihood:    , -1543.2 
converged:      ,True            ,  LL-Null:           , -1551.9 
Covariance Type:,nonrobust       ,  LLR p-value:       ,3.093e-05
                                                            ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] ,odds rt,[0.025,0.975]
Intercept                                                   ,    0.2418,    0.055,    4.417, 0.000,    0.134,    0.349,1.2735 ,1.144 ,1.4177
Q("number_of_countries_grouped__multiple_countries")[T.True],    0.3622,    0.087,    4.148, 0.000,    0.191,    0.533,1.4365 ,1.2105,1.7046
