                     Logit Regression Results                    
Dep. Variable:  ,has_result      ,  No. Observations:  ,  1482   
Model:          ,Logit           ,  Df Residuals:      ,  1477   
Method:         ,MLE             ,  Df Model:          ,     4   
Date:           ,Sun, 16 Mar 2025,  Pseudo R-squ.:     ,0.03022  
Time:           ,21:02:10        ,  Log-Likelihood:    , -896.33 
converged:      ,True            ,  LL-Null:           , -924.26 
Covariance Type:,nonrobust       ,  LLR p-value:       ,2.149e-11
                                                    ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] ,odds rt,[0.025,0.975]
Intercept                                           ,    0.9651,    0.066,   14.691, 0.000,    0.836,    1.094,2.625  ,2.3079,2.9857
Q("funding_sources_grouped__mixed")[T.True]         ,   -1.6960,    0.344,   -4.931, 0.000,   -2.370,   -1.022,0.1834 ,0.0935,0.3599
Q("funding_sources_grouped__no_funding")[T.True]    ,   -1.5529,    0.562,   -2.765, 0.006,   -2.654,   -0.452,0.2116 ,0.0704,0.6363
Q("funding_sources_grouped__non-commercial")[T.True],   -0.5358,    0.146,   -3.668, 0.000,   -0.822,   -0.250,0.5852 ,0.4395,0.7791
Q("funding_sources_grouped__unclear")[T.True]       ,   -1.7272,    0.462,   -3.735, 0.000,   -2.634,   -0.821,0.1778 ,0.0718,0.44  
