                     Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2283   
Model:          ,Logit           ,  Df Residuals:      ,  2281   
Method:         ,MLE             ,  Df Model:          ,     1   
Date:           ,Fri, 01 Mar 2024,  Pseudo R-squ.:     ,0.009084 
Time:           ,18:16:48        ,  Log-Likelihood:    , -1406.3 
converged:      ,True            ,  LL-Null:           , -1419.2 
Covariance Type:,nonrobust       ,  LLR p-value:       ,3.818e-07
                                              ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
Intercept                                     ,    0.6006,    0.057,   10.519, 0.000,    0.489,    0.712
Q("country_type__international_study")[T.True],    0.4727,    0.094,    5.025, 0.000,    0.288,    0.657
