                     Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2283   
Model:          ,Logit           ,  Df Residuals:      ,  2281   
Method:         ,MLE             ,  Df Model:          ,     1   
Date:           ,Fri, 01 Mar 2024,  Pseudo R-squ.:     ,0.0007964
Time:           ,18:16:48        ,  Log-Likelihood:    , -1418.0 
converged:      ,True            ,  LL-Null:           , -1419.2 
Covariance Type:,nonrobust       ,  LLR p-value:       ,0.1327   
                            ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
Intercept                   ,    0.7182,    0.063,   11.388, 0.000,    0.595,    0.842
Q("follow_up__true")[T.True],    0.1357,    0.090,    1.503, 0.133,   -0.041,    0.313
